"State","representativesNumber","Pop"
"California","53","39937500"
"Texas","36","29472300"
"New York","27","19440500"
"Florida","27","21993000"
"Pennsylvania","18","12820900"
"Illinois","18","12659700"
"Ohio","16","11747700"
"Michigan","14","10045000"
"Georgia","14","10736100"
"North Carolina","13","10611900"
"New Jersey","12","8936570"
"Virginia","11","8626210"
"Washington","10","7797100"
"Tennessee","9","6897580"
"Massachusetts","9","6976600"
"Indiana","9","6745350"
"Arizona","9","7378490"
"Wisconsin","8","5851750"
"Missouri","8","6169270"
"Minnesota","8","5700670"
"Maryland","8","6083120"
"South Carolina","7","5210100"
"Colorado","7","5845530"
"Alabama","7","4908620"
"Louisiana","6","4645180"
"Kentucky","6","4499690"
"Oregon","5","4301090"
"Oklahoma","5","3954820"
"Connecticut","5","3563080"
"Utah","4","3282120"
"Nevada","4","3139660"
"Mississippi","4","2989260"
"Kansas","4","2910360"
"Iowa","4","3179850"
"Arkansas","4","3039000"
"West Virginia","3","1778070"
"New Mexico","3","2096640"
"Nebraska","3","1952570"
"Rhode Island","2","1056160"
"New Hampshire","2","1371250"
"Maine","2","1345790"
"Idaho","2","1826160"
"Hawaii","2","1412690"
"Wyoming","1","567025"
"Vermont","1","628061"
"South Dakota","1","903027"
"North Dakota","1","761723"
"Montana","1","1086760"
"Delaware","1","982895"
"Alaska","1","734002"
